pkg,title,topics
recipebook,Typeset 5.5″ x 8″ recipes for browsing or printing,"Class, Cooking"
recipecard,Typeset recipes in note-card-sized boxes,Cooking
recorder-fingering,Package to display recorder fingering diagrams,"Diagrams, PGF TikZ, Music"
refcheck,"Check references (in figures, table, equations, etc)","Debug support, Tagged PDF – incompatible, Label and References"
refenums,Define named items and provide back-references with that name,Label and References
reflectgraphics,Techniques for reflecting graphics,Graphics manipulation
refman,Format technical reference manuals,Class
refstyle,Advanced formatting of cross references,"Tagged PDF – fully compatible, Label and References"
regexpatch,High level patching of commands,"Tagged PDF – fully compatible, Macro support"
register,Typeset programmable elements in digital hardware (registers),"Computer science, Engineering, Comp net"
reledmac,Typeset scholarly editions,"Critical edition, Tagged PDF – incompatible"
relsize,Set the font size relative to the current font size,"Font selection, Tagged PDF – partially compatible, Macro support"
renditions,Multiple versions from the same content,Conditional compilation
reotex,Draw Reo Channels and Circuits,"PGF TikZ, Diagrams"
repere,MetaPost macros for secondary school mathematics teachers,"Maths, Teaching, Graphics METAPOST"
repltext,Control how text gets copied from a PDF file,"Tagged PDF – incompatible, PDF features"
rerunfilecheck,Checksum based rerun checks on auxiliary files,"Tagged PDF – fully compatible, Compilation"
rescansync,Re-scan tokens with synctex information,Macro support
returntogrid,Semi-automatic grid typesetting,Typeset grid
ribbonproofs,Drawing ribbon proofs,Proof
rigidnotation,Typeset vectors and matrices following the RIGID notation,"Engineering, Maths"
robotarm,TikZ powered LaTeX package to draw parameterized 2D robot arms,"PGF TikZ, Graphics"
robust-externalize,"Cache anything (TikZ, python, ...) in a robust, efficient and pure way",Compilation
robustindex,Create index with pagerefs,Index
romanbar,Write roman number with <q>bars</q>,"Tagged PDF – partially compatible, Numbers"
romanbarpagenumber,Typesetting roman page numbers,"Page numbers, Numbers"
rotpages,Typeset sets of pages upside-down and backwards,"Tagged PDF – fully compatible, Layout"
roundrect,MetaPost macros for highly configurable rounded rectangles (optionally with text),"Graphics METAPOST, Boxing"
rputover,Place text over PSTricks objects without obscuring background colors,"Package declared obsolete, PSTricks"
rrgtrees,Linguistic tree diagrams for Role and Reference Grammar (RRG) with LaTeX,"Tree, Linguistic"
rtsched,Draw Real-Time scheduling (GANTT) charts,"Diagrams, Gantt"
rubik,Document Rubik cube configurations and rotation sequences,Puzzle
rulerbox,Draw rulers around a box,Misc support
rulercompass,A TikZ library for straight-edge and compass diagrams,"Tagged PDF – fully compatible, Graphics in TeX"
runcode,Execute foreign source code and embed the result in the pdf file,"Callback, Exec foreign"
runic,Fonts for Anglo-Saxon futharc script,"Rune Font, Tagged PDF – partially compatible, Font, Archaic Font, Font Type1"
runtexfile,"Automate the process of compiling (La)TeX documents with index, bibliography, …",Compilation
sa-tikz,TikZ library to draw switching architectures,"Comp net, Graphics use"
sagetex,Embed Sage code and plots into LaTeX,"Graphics inline, Literate programming, Callback"
sankey,Draw Sankey diagrams with TikZ,"Diagrams, Graphics, PGF TikZ, Flow Diagrams"
savefnmark,Save name of the footnote mark for reuse,Footnote
savetrees,Optimise the use of each page of a LaTeX document,"Layout, Tagged PDF – incompatible"
scalebar,"Create scalebars for maps, diagrams or photos",Misc support
scalerel,Constrained scaling and stretching of objects,"Graphics manipulation, Tagged PDF – partially compatible"
scaletextbullet,Resize the \textbullet without changing its vertical center,"Bullet List, Font supp misc"
scanpages,Support importing and embellishing scanned documents,Misc support
schedule,Weekly schedules,"Timetable, Planning"
schemabloc,"Draw block diagrams, using TikZ","PGF TikZ, Graphics, Block Diagrams"
schemata,Print topical diagrams,"Diagrams, Generic Macros, Theology, Philosophy, Tagged PDF – partially compatible"
scontents,Stores LaTeX contents in memory or files,"File management, Tagged PDF – fully compatible"
scrabble,Commands for Scrabble boards,"PGF TikZ, Games"
scratch3,Draw programs like <q>scratch</q>,"Games, PGF TikZ"
scratchx,Include Scratch programs in LaTeX documents,"Games, PGF TikZ"
screenplay,A class file to typeset screenplays,"Drama script, Class"
screenplay-pkg,Package version of the screenplay document class,Drama script
scripture,A LaTeX style for typesetting Bible quotations,Theology
sdrt,Macros for Segmented Discourse Representation Theory,Linguistic
seatingchart,Generation of seating charts,"LuaTeX, PGF TikZ"
sectionbox,Create fancy boxed ((sub)sub)sections,Decoration
sectionbreak,LaTeX support for section breaks,"Decoration, Tagged PDF – partially compatible, Headings"
selectp,Select pages to be output,"Page control, Tagged PDF – incompatible"
selinput,Semi-automatic detection of input encoding,"Inputenc, Tagged PDF – partially compatible"
semantic,Help for writing programming language semantics,Computer science
semesterplanner,Create beautiful semester timetables and more,"Planning, LuaTeX, Calendar"
semesterplannerLua,Draw timetables and other organizational matters useful for planning a semester,"LuaTeX, Planning, Calendar"
seminar,Make overhead slides,"Tagged PDF – unsupported, Presentation"
sepfootnotes,Support footnotes and endnotes from separate files,"Footnote, Tagged PDF – partially compatible"
sesstime,Session and timing information in lecture notes,Teaching
setspace,Set space between lines,"Tagged PDF – fully compatible, Line space"
sgame,LaTeX style for typesetting strategic games,Games
shadethm,Theorem environments that are shaded,"Maths theorem, Decoration, Tagged PDF – incompatible"
shadowtext,Produce text with a shadow behind it,"Decoration, Tagged PDF – incompatible"
shapepar,A macro to typeset paragraphs in specific shapes,"Text flow, Tagged PDF – incompatible, Micro layout, Parshape"
shapes,"Draw polygons, reentrant stars, and fractions in circles with MetaPost",Maths
shdoc,Float environment to document the shell commands of a terminal session,"Syntax highlight, Float, Listing"
shortlst,Compact lists by running several items per line,"Bullet List, List, List enumerate"
shorttoc,Table of contents with different depths,"Tagged PDF – incompatible, TOC etc."
show-pdf-tags,Extract PDF tags from tagged PDF files,"PDF view, PDF features"
showexpl,Typesetting LaTeX source code,"Macro Demonstration, Tagged PDF – incompatible, Listing"
showhyphenation,Marking of hyphenation points,"Tagged PDF – fully compatible, Hyphenation, LuaTeX, Debug support"
showhyphens,Show all possible hyphenations in LuaLaTeX,"Package declared obsolete, LuaTeX, Hyphenation"
showkerning,Showing kerns in a document,"LuaTeX, Tagged PDF – fully compatible"
showlabels,Show label commands in the margin,"BibTeX Support, Tagged PDF – partially compatible, Macro support, Label and References"
sidecap,Typeset captions sideways,"Tagged PDF – incompatible, Caption, Rotation"
sidenotes,"Typeset notes containing rich content, in the margin","Marginal, Tagged PDF – incompatible"
sidenotesplus,"Place referenced notes, alerts, figures and tables into the document margin",Marginal
sides,A LaTeX class for typesetting stage plays,Drama script
silence,Selective filtering of error messages and warnings,"Compilation, Tagged PDF – fully compatible"
sillypage,John Cleese’s Silly Walk as page numbering style,"Amusements, Page numbers, Tagged PDF – fully compatible, Numbers"
sim-os-menus,"Insert <q>terminal</q> or <q>
    <span>context</span> menu</q> or <q>viewers</q> like in an OS","Boxing, Computer science, Presentation"
simplecd,"Simple CD, DVD covers for printing",Covers
simplecv,A simple class for writing curricula vitae,"Tagged PDF – partially compatible, CV, Class, LyX"
simpleicons,Simple Icons for LaTeX,"Font symbol, OTF Font, Font, Tagged PDF – partially compatible, Font supp symbol, Font Type1"
simpleinvoice,Easy typesetting of invoices,Invoice
simplekv,A simple key/value system for TeX and LaTeX,"Key-Val, Tagged PDF – fully compatible"
simpleoptics,Drawing lenses and mirrors for optical diagrams,"Physics, Optics, PGF TikZ"
simpler-wick,Simpler Wick contractions,"Tagged PDF – partially compatible, Physics"
simples-matrices,Define matrices by given list of values,"Maths, Matrix"
simplewick,Simple Wick contractions,"Physics, Tagged PDF – partially compatible"
skak,Fonts and macros for typesetting chess games,"Tagged PDF – incompatible, Games, Chess Font, MF Font, Font, Chess"
skeldoc,Placeholders for unfinished documents,"Dummy generator, Notes, Editorial, Rule"
sketch,A 3d sketch language translator,Graphics import
skillicons,Integrate skill icons into your documents,"Graphics, Logo"
slantsc,Access different-shaped small-caps fonts,"Tagged PDF – fully compatible, Font support"
slashbox,Both column and row headings in a tabular cell,Table
sltables,Simplified tables for LaTeX,Table
smart-eqn,Automatic math symbol styling for LaTeX documents,Maths
smartdiagram,Generate diagrams from lists,"PGF TikZ, Diagrams"
smartunits,Converting between common metric and Imperial units,"Misc conv, Units"
snapshot,List the external dependencies of a LaTeX document,"Tagged PDF – fully compatible, Archival, File management"
snaptodo,A todo that snaps to the closer side,"Editorial, Notes"
songbook,Package for typesetting song lyrics and chord books,"Chords, Music"
songproj,Generate Beamer slideshows with song lyrics,"Presentation, Verse, Music"
songs,Produce song books for church or fellowship,"Chords, Music"
soul,"Hyphenation for letterspacing, underlining, and more","Underline, Letterspace, Tagged PDF – incompatible"
soulpos,A fancy means of underlining,"Tagged PDF – incompatible, Letterspace, Underline"
soup,Generate alphabet soup puzzles,"Crossword puzzle, Games, Puzzle"
spacekern,Kerning between words and against space,"Letterspace, Tagged PDF – fully compatible"
spacingtricks,Addressing various spacing issues,"Footnote, Typesetting, Layout, List, Abbreviations"
spalign,Typeset matrices and arrays with spaces and semicolons as delimiters,"Maths theorem, Maths system equations, Typeset grid, Maths, Tagged PDF – partially compatible, Matrix"
sparklines,"Drawing sparklines: intense, simple, wordlike graphics",Graphics in TeX
spath3,Manipulate <q>soft paths</q> in PGF,"PGF TikZ, Curve Graphics, Tagged PDF – fully compatible"
spbmark,Customize superscripts and subscripts,Subsup position
spectralsequences,Print spectral sequence diagrams using PGF/TikZ,PGF TikZ
spelatex,Create PDF documents with hyperlinks to audiofragments,Multimedia
spelling,Support for spell-checking of LuaTeX documents,"Spell, LuaTeX"
spot,Spotlight highlighting for Beamer,Presentation
spotxcolor,Modern spot color support for the xcolor package,Colour
spreadtab,Spreadsheet features for LaTeX tabular environments,"Table, Tagged PDF – fully compatible"
spverbatim,Allow line breaks within \verb and verbatim output,"Tagged PDF – incompatible, Verbatim"
sqltex,An SQL Preprocessor for LaTeX,DB access
sseq,Typesetting spectral sequence charts,Maths
stage,A LaTeX class for stage plays,"Class, Drama script"
standalone,Compile TeX pictures stand-alone or as part of a document,"Subdocs, Tagged PDF – partially compatible, Class"
stanli,TikZ Library for Structural Analysis,"PGF TikZ, Engineering"
starfont,The StarFont Sans astrological font,"Font specialist, Font TTF, Tagged PDF – partially compatible, Astrology, Font"
statistics,Compute and typeset statistics tables and graphics,"Maths, Statistics"
stix2-otf,OpenType Unicode text and maths fonts,"Body Font, Font collection, Font symbol, Font serif, Font, Non-roman Font, OTF Font, Maths Font, Font symbol maths"
strands,Draw objects constructed from strands,"Graphics, PGF TikZ"
string-diagrams,Create string diagrams with LaTeX and TikZ,"Graphics, Diagrams, Maths, PGF TikZ"
structmech,A TikZ command set for structural mechanics drawings,"PGF TikZ, Physics"
stubs,Create tear-off stubs at the bottom of a page,Advertisements
suanpan-l3,Traditional Chinese 7-beads suanpan (abacus) package based on l3draw,Diagrams
subcaption,Support for sub-captions,"Caption, Tagged PDF – incompatible"
subeqnarray,Equation array with sub numbering,"Tagged PDF – incompatible, Maths system equations"
subfiles,Individual typesetting of subfiles of a <q>main</q> document,"Tagged PDF – fully compatible, Class, Subdocs"
subfloat,Sub-numbering for figures and tables,"Tagged PDF – fully compatible, Subfloat"
subsupscripts,A range of sub- and superscript commands,"Physics, Maths, Subsup position"
sudoku,Create sudoku grids,"Games, Sudoku"
sunpath,Draw sun path charts,"Astronomy, PGF TikZ, Graphics, Physics"
supertabular,A multi-page tables package,"Table long, Table, Tagged PDF – incompatible"
svg-inkscape,How to include an SVG image in LaTeX using Inkscape,Graphics prep
swfigure,Insert large images that do not fit into a single page,"Graphics include, Tagged PDF – incompatible"
swimgraf,Graphical/textual representations of swimming performances,Data display
swungdash,Typeset a swung dash in LaTeX,Typesetting
syllogism,Typeset syllogisms in LaTeX,Logic
syngen,A tool for generating syntax diagrams from BNF,"Diagrams, Syntax"
synproof,Easy drawing of syntactic proofs,"Logic, Linguistic, Tagged PDF – incompatible"
syntaxdi,Create <q>railroad</q> syntax diagrams,"Graphics, PGF TikZ, Flow Diagrams, Diagrams"
synttree,Typeset syntactic trees,"Linguistic, Tree"
systeme,Format systems of equations,"Maths, Maths system equations, Simplified, Tagged PDF – incompatible"
t-angles,"Draw tangles, trees, Hopf algebra operations and other pictures","Graphics in TeX, Maths"
tablefootnote,Permit footnotes in tables,"Footnote, Tagged PDF – fully compatible, Table"
tableof,Tagging tables of contents,"TOC etc., Tagged PDF – incompatible"
tablericons,Use tablerIcons through LaTeX commands,"Graphics, Text symbol"
tablists,Tabulated lists of short items,"List enumerate, Tagged PDF – incompatible"
tablvar,Typesetting pretty tables of signs and variations according to French usage,"Maths tabvar, French, Maths"
tabto-ltx,<q>Tab</q> to a measured position in the line,"Tagged PDF – incompatible, Layout"
tabu,Flexible LaTeX tabulars,"Tagged PDF – unsupported, Table, Table long"
tabularborder,Remove excess space at left and right of tabular,Table
tabularcalc,Calculate formulas in a tabular environment,"Table, Tagged PDF – fully compatible"
tabularew,A variation on the tabular environment,Table
tabularht,Tabular extensions originally submitted by Heiko Oberdiek,"Table, Tagged PDF – fully compatible"
tabularray,Typeset tabulars and arrays with LaTeX3,"Table, Tagged PDF – incompatible, Table long"
tabularx,Tabulars with adjustable-width columns,"Tagged PDF – fully compatible, Table"
tabulary,Tabular with variable width columns balanced,"Table, Tagged PDF – fully compatible"
tagging,Document configuration with tags,"Conditional compilation, Tagged PDF – fully compatible"
tagpair,"Word-by-word glosses, translations, and bibliographic attributions",Text layout
tagsnip,Include tagged code snippets from local files or remote URLs,Chunks
talk,A LaTeX class for presentations,"Class, Presentation"
tangramtikz,"Tangram puzzles, with TikZ","Games, PGF TikZ, Puzzle"
tasks,Horizontally columned lists,"List enumerate, Tagged PDF – incompatible, List"
tblr-extras,Extra libraries for tabularray for caption and babel compatibility,"Table long, Table"
tcolorbox,"Coloured boxes, for LaTeX examples and theorems, etc","Boxing, Macro Demonstration, Box breaking, Tagged PDF – partially compatible, Colour, Verbatim, Listing"
temporal-logic,Symbols for Temporal Logics,"Symbol support, Text symbol, Logic"
tensor,Typeset tensors,"Tagged PDF – partially compatible, Subsup position, Maths"
termcal,Print a class calendar,Calendar
termes-otf,Using the OpenType fonts TeX Gyre Termes,"Maths Font, LuaTeX, Font, Tagged PDF – fully compatible, XeTeX, OTF Font"
terminalcode,"Terminal-style code display with ANSI colors, UTF-8 box-drawing, and dark/light themes","Decoration, Verbatim"
termsim,"Simulate Win10, Ubuntu, and Mac terminals","Computer science, Listing, Boxing"
testidx,Dummy text for testing index styles and indexing applications,"Dummy generator, Index"
tex-gyre,TeX Fonts extending freely available URW fonts,"Font, Proportional Font, Sans Font, Font Type1, OTF Font, Font collection, Font serif"
tex-label,Place a classification on each page of a document,Security
tex-locale,Localisation support for TeX and LaTeX documents,"Environment query, Tagged PDF – fully compatible, System support"
tex-nutshell,A short document about TeX principles,"Tutorial plainTeX, Documentation"
tex2page,Produce HTML from TeX/LaTeX,Convert HTML
tex4ht,Convert (La)TeX to HTML/XML,"Tagged PDF – incompatible, Convert HTML"
texapi,Macros to write format-independent packages,"&epsilon;-TeX, Macro support"
texblend,Compile segments of LaTeX documents,"Compilation, Conditional compilation, Use Lua, Compiler management"
texbytopic,Freed version of the book <i>TeX by Topic</i>,"Book source, Tutorial plainTeX, LaTeX Reference"
texcount,Count words in a LaTeX document,Word count
texdate,"Date printing, formatting, and manipulation in TeX",Date time
texdimens,Conversion of TeX dimensions to decimals,"Units, &epsilon;-TeX, Tagged PDF – fully compatible"
texdraw,"Graphical macros, using embedded PostScript",Graphics in TeX
texgit,"Download, access, and potentially execute files from git",Data import
texmate,Comprehensive chess annotation in LaTeX,"Chess, Games, Tagged PDF – incompatible"
texmuse,Music typesetting system using TeX and Metafont,Music
texshade,Package for setting nucleotide and peptide alignments,"Chemistry, Mol bio"
textcsc,Simple commands for caps-to-small-caps text,"Tagged PDF – partially compatible, Typesetting, Unicode"
textopo,Annotated membrane protein topology plots,"Chemistry, Mol bio"
textpath,Setting text along a path with MetaPost,Graphics text
textpos,Place boxes at arbitrary positions on the LaTeX page,"Tagged PDF – incompatible, Layout"
thalie,Typeset drama plays,Drama script
theatre,A sophisticated package for typesetting stage plays,Drama script
thematicpuzzle,Horizontal banners in a puzzle style,Symbol support
thermodynamics,Macros for multicomponent thermodynamics documents,"Chemistry, Physics"
thmbox,Decorate theorem statements,"Decoration, Maths theorem, Tagged PDF – incompatible"
thmlist,A LaTeX package for adding theorem environments quickly,"Package declared obsolete, Maths, Maths theorem"
thmtools,Extensions to theorem environments,"Maths, Tagged PDF – incompatible, Maths theorem"
threeparttablex,Notes in longtables,"Notes, Table, Tagged PDF – incompatible"
thumb,Add thumb tabs to document pages,Layout page
thumbs,Create thumb indexes,"Tagged PDF – partially compatible, Layout page"
thumby,Create thumb indexes for printed books,Layout page
ticollege,Graphical representation of keys on a standard scientific calculator,"Documentation support, PGF TikZ"
tictactoe,Drawing tic-tac-toe or Noughts and Crosses games,Games
tiet-question-paper,A LaTeX question paper class for the TIET,"Class, Exam"
tikz-3dplot,Coordinate transformation styles for 3d plotting in TikZ,"Tagged PDF – fully compatible, Graphics use, PGF TikZ, 3D Graphics"
tikz-bagua,Draw Bagua symbols in Yijing,"PGF TikZ, Numbers"
tikz-bbox,Precise determination of bounding boxes in TikZ,"PGF TikZ, Graphics"
tikz-cd,Create commutative diagrams with TikZ,"PGF TikZ, Graphics, Graphics in TeX, Commutative Diagrams, Tagged PDF – incompatible"
tikz-decofonts,"Simple decoration fonts, made with TikZ, for short texts","Graphics, Decor Font, PGF TikZ, Amusements"
tikz-dependency,A library for drawing dependency graphs,"Linguistic, Tree, PGF TikZ, Tagged PDF – fully compatible"
tikz-dimline,Technical dimension lines using PGF/TikZ,"Tagged PDF – fully compatible, PGF TikZ"
tikz-feynhand,Feynman diagrams with TikZ,"Physics, PGF TikZ"
tikz-feynman,Feynman diagrams with TikZ,"Tagged PDF – fully compatible, PGF TikZ, Use LuaTeX, Physics"
tikz-imagelabels,Put labels on images using TikZ,"Graphics, Graphics include, Graphics text, PGF TikZ"
tikz-inet,Draw interaction nets with TikZ,Logic
tikz-kalender,A LaTeX based calendar using TikZ,"PGF TikZ, Class, Calendar"
tikz-karnaugh,Typeset Karnaugh maps using TikZ,"Maths, PGF TikZ, Engineering"
tikz-ladder,Draw ladder diagrams using TikZ,"Engineering, PGF TikZ, Circuit Diagram, Diagrams"
tikz-lake-fig,Schematic diagrams of lakes,PGF TikZ
tikz-layers,"TikZ provides graphical layers on TikZ: <q>behind</q>, <q>above</q> and <q>glass</q>","PGF TikZ, Graphics"
tikz-mirror-lens,Spherical mirrors and lenses in TikZ,"Physics, PGF TikZ, Optics, Diagrams"
tikz-network,Draw networks with TikZ,"Diagrams, Tagged PDF – fully compatible, PGF TikZ, Graphics"
tikz-nfold,"Triple, quadruple, and n-fold paths with TikZ","Graphics, PGF TikZ, Tagged PDF – fully compatible"
tikz-optics,A library for drawing optical setups with TikZ,"Graphics in TeX, PGF TikZ, Physics, Optics"
tikz-osci,Produce oscilloscope screen shots,"Physics, Graphics use, PGF TikZ"
tikz-page,Small macro to help building nice and complex layout materials,PGF TikZ
tikz-palattice,Draw particle accelerator lattices with TikZ,PGF TikZ
tikz-planets,Illustrate celestial mechanics and the solar system,"Graphics, PGF TikZ, Astronomy"
tikz-qtree,Use existing qtree syntax for trees in TikZ,Tree
tikz-relay,TikZ library for typesetting electrical diagrams,"Physics, Diagrams, Engineering, PGF TikZ, Circuit Diagram"
tikz-sfc,Symbols collection for typesetting Sequential Function Chart (SFC) diagrams (PLC programs),"Flow Diagrams, Diagrams, Circuit Diagram, Engineering, PGF TikZ"
tikz-shields,"Badges as in shields.io, but in LaTeX","PGF TikZ, Graphics"
tikz-swigs,Horizontally and vertically split elliptical nodes,PGF TikZ
tikz-timing,Easy generation of timing diagrams as TikZ pictures,"PGF TikZ, Timing Diagrams, Tagged PDF – partially compatible, Electronic"
tikz-trackschematic,A TikZ library for creating track diagrams in railways,"Diagrams, Graphics, PGF TikZ"
tikz-truchet,Draw Truchet tiles,PGF TikZ
tikzbrickfigurines,Draw brick figurines with TikZ,"Graphics, PGF TikZ, Amusements"
tikzbricks,Drawing bricks with TikZ,"Graphics, Amusements, Tagged PDF – fully compatible, PGF TikZ"
tikzcodeblocks,"Helps to draw codeblocks like scratch, NEPO and PXT in TikZ",PGF TikZ
tikzdotncross,Marking coordinates and crossing paths,"PGF TikZ, Graphics, Electronic, Circuit Diagram"
tikzfill,TikZ libraries for filling with images and patterns,"PGF TikZ, Tagged PDF – fully compatible"
tikzlings,A collection of cute little animals and similar creatures,"Amusements, PGF TikZ, Tagged PDF – fully compatible, Graphics"
tikzmarmots,Drawing little marmots in TikZ,"Tagged PDF – fully compatible, PGF TikZ, Graphics, Amusements"
tikzorbital,Atomic and molecular orbitals using TikZ,"Diagrams, Chemistry"
tikzpackets,Display network packets,"PGF TikZ, Comp net"
tikzpagenodes,A single TikZ node for the whole page,"Graphics, Macro support, PGF TikZ"
tikzpfeile,Draw arrows using PGF/TikZ,Graphics symbols
tikzpingus,Penguins with TikZ,"Amusements, PGF TikZ, Graphics, Tagged PDF – fully compatible"
tikzposter,Create scientific posters using TikZ,"Class, Poster"
tikzquads,A few shapes designed to be used with CircuiTikZ,"Circuit Diagram, Electronic, PGF TikZ, Graphics"
tikzscale,Resize pictures while respecting text size,Graphics support
tikzsymbols,Some symbols created using TikZ,"Graphics symbols, PGF TikZ"
tikzviolinplots,Draws violin plots from data,"Statistics, Graphics plot, PGF TikZ, Graphics"
tile-graphic,Create tiles of a graphical file,Graphics subpic
tilings,A TikZ library for drawing tiles and tilings,"Tagged PDF – fully compatible, PGF TikZ, Maths"
tipfr,Produces calculator’s keys with the help of TikZ,PGF TikZ
tiscreen,Mimic the screen of older Texas Instruments calculators,"Graphics in TeX, Graphics"
titlecaps,Setting rich-text input into Titling Caps,"Typesetting, Tagged PDF – fully compatible"
titlepic,Add picture to title page of a document,"Tagged PDF – fully compatible, Graphics use, Title page"
tkz-berge,Macros for drawing graphs of graph theory,"PGF TikZ, Maths"
tkz-bernoulli,Draw Bernoulli trees with TikZ,Tree
tkz-elements,A Lua library for drawing Euclidean geometry with TikZ or tkz-euclide,"Calculation, LuaTeX, PGF TikZ, Maths"
tkz-euclide,Tools for drawing Euclidean geometry,"Use LuaTeX, Graphics use, Maths, PGF TikZ"
tkz-fct,Tools for drawing graphs of functions,"PGF TikZ, Graphics plot, Graphics"
tkz-graph,Draw graph-theory graphs,"Maths, Graphics, PGF TikZ"
tkz-kiviat,Draw Kiviat graphs,Graphics plot
tkz-linknodes,Link nodes in mathematical environments,"Graphics use, PGF TikZ"
tkz-orm,Create Object-Role Model (ORM) diagrams,"Diagrams, PGF TikZ"
tkz-tab,Tables of signs and variations using PGF/TikZ,"Graphics, Maths tabvar, PGF TikZ, Maths"
to-be-determined,Highlight text passages that need further work,"Decoration, Editorial, Conditional compilation"
tocdata,"Adds names to chapters, sections, figures in the TOC and LOF","Tagged PDF – incompatible, TOC etc."
tocloft,"Control table of contents, figures, etc","TOC etc., Tagged PDF – fully compatible"
todo,Make a to-do list for a document,"Notes, Editorial"
todonotes,Marking things to do in a LaTeX document,"PGF TikZ, Editorial, Tagged PDF – incompatible, Notes"
tokcycle,Build tools to process tokens from an input stream,"Misc support, Generic Macros, Macro support, Iterating Macros, Parser"
tonevalue,Tool for linguists and phoneticians to visualize tone value patterns,"Phonetic, PGF TikZ, Linguistic"
topiclongtable,Extend longtable with cells that merge hierarchically,"Table, Table long"
tqft,Drawing TQFT diagrams with TikZ/PGF,"Diagrams, Tagged PDF – fully compatible, Graphics use"
tracklang,Language and dialect tracker,"Class support, Multi-lingual, Package development, Tagged PDF – fully compatible"
trainmap,Draw railway line schematics and transit network maps with TikZ,"PGF TikZ, Graphics, Diagrams"
tram,Typeset tram boxes in LaTeX,"Decoration, Boxing, Editorial"
tramlines,"A package for creating tramlines (lines above and below a title used
    by lawyers in the UK)","Headings, Legal"
translations,Internationalisation of LaTeX2e packages,"Package support, Multi-lingual, Tagged PDF – fully compatible"
tree-dvips,Trees and other linguists’ macros,Tree
trfsigns,Typeset transform signs,"Maths symbol, Tagged PDF – partially compatible"
trimspaces,Trim spaces around an argument or within a macro,"Tagged PDF – fully compatible, Macro support"
truthtable,Automatically generate truth tables for given variables and statements,"LuaTeX, Maths, Logic"
tucv,Support for typesetting a CV or résumeé,CV
tuda-ci,LaTeX templates using CI of Technische Universität Darmstadt,"Poster, Std conform, Class, Dissertation, Letter, Document template, Presentation"
tufte-latex,Document classes inspired by the work of Edward Tufte,"Class, Tagged PDF – unsupported, Book publication"
turnthepage,Provide <q>turn page</q> instructions,"Tagged PDF – fully compatible, Layout, Exam"
twemojis,Use Twitter’s open source emojis through LaTeX commands,"Text symbol, Graphics, Tagged PDF – partially compatible"
txp,Draw text along a path,Graphics text
typed-checklist,"Typesetting tasks, goals, milestones, artifacts, and more in LaTeX","List, Tagged PDF – incompatible"
typedref,Eliminate errors by enforcing the types of labels,Label and References
typeface,Select a balanced set of fonts,Font selection
typewriter,Typeset with a randomly variable monospace font,Typesetting
typicons,Font containing a set of web-related icons,"Font TTF, Tagged PDF – partially compatible, Font, Font supp symbol, Font symbol"
tzplot,Plot graphs with TikZ abbreviations,"PGF TikZ, Maths, Graphics, Graphics plot function"
uassign,Environments and options for typesetting university assignments,Class
ucharclasses,Font actions in XeTeX according to what is being processed,"XeTeX, Font support, Tagged PDF – unsupported"
udepcolor,University of Piura (UDEP) institutional and corporate colors for digital and electronic media,Colour
udiss,A LaTeX bundle for typesetting dissertations,"Class, Dissertation"
ulem,Package for underlining,"Underline, Emphasis, Tagged PDF – incompatible"
undar-digitacion,"Musical fingering diagrams of Pinkullo Huanuqueño, Flute (Recorder), Quena and Saxophone","Music, PGF TikZ"
uni-titlepage,Universal titlepages with configuration options and predefined styles,Title page
unicodefonttable,A Unicode font table generator,"Font index, Unicode, Tagged PDF – partially compatible"
unifront,Give notes a unique front page for every chapter and section,"Notes, TOC etc."
unimath-plain-xetex,OpenType math support in (plain) XeTeX,"XeTeX, Plain extensions, Font supp maths, Maths, Unicode"
urlbst,Web support for BibTeX,BibTeX Support
urwchancal,Use URW’s clone of Zapf Chancery as a maths alphabet,Font supp maths
usebib,A simple bibliography processor,"Bibliography, Tagged PDF – fully compatible"
useclass,Load classes as packages,Documentation support
utfsym,Provides various Unicode symbols,"Tagged PDF – partially compatible, Symbol support, PGF TikZ"
vcell,Vertical alignment of content inside table cells,"Tagged PDF – incompatible, Table"
vectorlogos,"Vectorial logos (GeoGebra, Emacs, Scratch, ...) with <q>inline</q> support",Logo
venndiagram,Creating Venn diagrams with TikZ,"Math Diagrams, PGF TikZ, Tagged PDF – fully compatible"
verbatimbox,Deposit verbatim text in a box,"Verbatim, Tagged PDF – incompatible, Boxing"
verbatimcopy,Make copies of text documents from within LaTeX,Verbatim
verifica,Typeset (Italian high school) exercises,"Class, Exam, Exercise"
verifiche,A LaTeX package to typeset (Italian) high school tests,"Exercise, Exam"
verifycommand,"Verifies definitions are unchanged, such as before patching","Tagged PDF – fully compatible, Package development"
verse,Aids for typesetting simple verse,"Tagged PDF – partially compatible, Verse"
version,Conditionally include text,"Tagged PDF – fully compatible, Conditional compilation"
versonotes,Display brief notes on verso pages,"Notes, Tagged PDF – incompatible"
vertbars,Mark vertical rules in margin of text,"Editorial, Tagged PDF – incompatible"
vhistory,Support for creating a change log,Version control
visualfaq,A Visual LaTeX FAQ,FAQ
visualpstricks,Visual help for PSTricks based on images with minimum text,"Graphics documentation, PSTricks, Graphics in TeX, French documentation"
visualtoks,Typeset TeXbook-style visualisations of token lists,"&epsilon;-TeX, Generic Macros, Macro Demonstration"
voss-mathcol,"Typesetting mathematics in colour, in (La)TeX","Tutorial, Maths documentation"
voss-mathmode,A comprehensive review of mathematics in (La)TeX,"Package declared obsolete, Documentation, Maths documentation"
